Antecedent_SKU1,Antecedent_SKU2,Consequent_SKU1,Consequent_SKU2,antecedent support,consequent support,support,confidence,lift,leverage,conviction
1184024,2734854,2988370,,0.010731707,0.040731707,0.010731707,1,24.5508982,0.010294587,inf
1380638,3953783,2988370,,0.012195122,0.040731707,0.012195122,1,24.5508982,0.011698394,inf
1380638,8568532,2988370,,0.010243902,0.040731707,0.010243902,1,24.5508982,0.009826651,inf
1380638,8568532,8798636,,0.010243902,0.043658537,0.010243902,1,22.90502793,0.009796669,inf
1968367,2734854,2988370,,0.010243902,0.040731707,0.010243902,1,24.5508982,0.009826651,inf
2170445,1069332,8798636,,0.010487805,0.043658537,0.010487805,1,22.90502793,0.010029923,inf
2170445,1184024,6420710,,0.011707317,0.036829268,0.011707317,1,27.15231788,0.011276145,inf
2170445,1184024,8798636,,0.011707317,0.043658537,0.011707317,1,22.90502793,0.011196193,inf
2170445,1968367,8798636,,0.01195122,0.043658537,0.01195122,1,22.90502793,0.011429447,inf
2170445,3672270,9836218,,0.01,0.039756098,0.01,1,25.15337423,0.009602439,inf
2170445,3672270,8798636,,0.01,0.043658537,0.01,1,22.90502793,0.009563415,inf
2170445,3953783,9288109,,0.010243902,0.034878049,0.010243902,1,28.67132867,0.009886615,inf
2170445,3953783,6420710,,0.010243902,0.036829268,0.010243902,1,27.15231788,0.009866627,inf
2170445,3953783,8798636,,0.010243902,0.043658537,0.010243902,1,22.90502793,0.009796669,inf
2170445,4687278,8798636,,0.011463415,0.043658537,0.011463415,1,22.90502793,0.010962939,inf
2170445,5528349,8798636,,0.012682927,0.043658537,0.012682927,1,22.90502793,0.012129209,inf
2170445,5617621,8798636,,0.010487805,0.043658537,0.010487805,1,22.90502793,0.010029923,inf
2170445,7567468,8798636,,0.01097561,0.043658537,0.01097561,1,22.90502793,0.010496431,inf
2170445,8778012,8798636,,0.010243902,0.043658537,0.010243902,1,22.90502793,0.009796669,inf
2170445,8963391,8798636,,0.010243902,0.043658537,0.010243902,1,22.90502793,0.009796669,inf
2170445,9288109,8798636,,0.012439024,0.043658537,0.012439024,1,22.90502793,0.011895955,inf
2170445,9549158,9288109,,0.010243902,0.034878049,0.010243902,1,28.67132867,0.009886615,inf
2170445,9549158,8798636,,0.010243902,0.043658537,0.010243902,1,22.90502793,0.009796669,inf
2170445,9978362,8798636,,0.01097561,0.043658537,0.01097561,1,22.90502793,0.010496431,inf
2734854,3672270,9836218,,0.01,0.039756098,0.01,1,25.15337423,0.009602439,inf
